ID,Category,Page/Component,Position,Priority,Width,Height,Orientation,Aspect Ratio,Prompt English,Prompt Vietnamese,Context/Description,Style Type,Mood,Colors,Format,Alt Text,File Name,Notes
landing-hero-background,landing-page,src/pages/landing/page.tsx,Hero Section Background,CRITICAL,1920,1080,landscape,16:9,"Lush green Vietnamese forest canopy with medicinal plants growing underneath tall trees in misty morning light, creating peaceful natural atmosphere with vibrant emerald tones and soft sunlight filtering through leaves, showing sustainable agroforestry system, modern technology integration, digital platform ecosystem, professional photography, cinematic composition","Rừng xanh tươi tốt Việt Nam với cây dược liệu mọc dưới tán rừng, ánh sáng ban mai mờ sương, tạo không khí tự nhiên yên bình với tông màu xanh ngọc bích rực rỡ và ánh nắng mềm mại xuyên qua lá, thể hiện hệ thống nông lâm kết hợp bền vững, tích hợp công nghệ hiện đại, hệ sinh thái nền tảng số","Hero background cho landing page - Đây là hình ảnh đầu tiên người dùng nhìn thấy, cần ấn tượng và thể hiện được tinh thần của VITA",photography,"peaceful, natural, inspiring, professional","emerald, green, teal, cyan, white (mist)",jpg,"Rừng dược sinh - Hệ sinh thái nông nghiệp bền vững",landing-hero-background.jpg,"Cần đảm bảo không có text overlay quan trọng ở vùng giữa ảnh (sẽ có text overlay)"
landing-an-sinh-1,an-sinh-features,src/pages/landing/page.tsx,About Section - An sinh về Sinh kế,HIGH,800,600,landscape,4:3,"Vietnamese farmer working in multi-layer agroforestry system, medicinal herbs growing under tall forest trees, farmer harvesting short-term crops while long-term timber trees grow above, sustainable farming model, monthly income from herbs supporting long-term investment, professional illustration style, modern and clean design, emerald and green color palette","Nông dân Việt Nam làm việc trong hệ thống nông lâm kết hợp đa tầng, dược liệu mọc dưới tán rừng cao, nông dân thu hoạch cây ngắn ngày trong khi cây gỗ dài ngày phát triển phía trên, mô hình canh tác bền vững, thu nhập hàng tháng từ dược liệu hỗ trợ đầu tư dài hạn","Mô tả mô hình 'Đa tầng tán': Dược liệu ngắn ngày (Sâm, Nấm) nuôi cây gỗ dài ngày. Bao tiêu đảm bảo, thu nhập đều đặn hàng tháng",illustration,"hopeful, productive, sustainable","emerald, green, brown, amber",webp,"An sinh về Sinh kế - Mô hình đa tầng tán",landing-an-sinh-1.webp,
landing-an-sinh-2,an-sinh-features,src/pages/landing/page.tsx,About Section - An sinh về Tài chính,HIGH,800,600,landscape,4:3,"Vietnamese farmer using smartphone app with digital wallet interface, showing BNPL (Buy Now Pay Later) for agricultural inputs, automatic split payment visualization, credit based on data and reputation without land collateral, modern fintech interface, professional illustration, blue and cyan color palette","Nông dân Việt Nam sử dụng app điện thoại với giao diện ví số, hiển thị BNPL (Trả sau) cho vật tư nông nghiệp, visualization chia tiền tự động, tín dụng dựa trên dữ liệu và uy tín không cần thế chấp đất","Tín dụng sản xuất dựa trên dữ liệu, BNPL cho vật tư, Split Payment tự động - không ai bị chiếm dụng vốn",illustration,"modern, secure, empowering","blue, cyan, green",webp,"An sinh về Tài chính - Tín dụng và thanh toán số",landing-an-sinh-2.webp,
landing-an-sinh-3,an-sinh-features,src/pages/landing/page.tsx,About Section - An sinh về Tri thức,HIGH,800,600,landscape,4:3,"Vietnamese farmer in highland area learning from tablet device showing SOP (Standard Operating Procedures) from agricultural expert, remote consultation via AR tools, KOL receiving ESG and marketing training, elderly farmer learning smartphone technology, knowledge democratization, professional illustration, purple and indigo color palette","Nông dân Việt Nam vùng cao học tập từ tablet hiển thị SOP từ chuyên gia nông nghiệp, tư vấn từ xa qua công cụ AR, KOL nhận đào tạo về ESG và marketing, nông dân lớn tuổi học công nghệ smartphone, dân chủ hóa kiến thức","SOP từ chuyên gia trong App, đào tạo KOL về ESG, xóa mù công nghệ cho bà con vùng cao",illustration,"educational, empowering, modern","purple, indigo, pink",webp,"An sinh về Tri thức - Đào tạo và chuyển giao công nghệ",landing-an-sinh-3.webp,
landing-an-sinh-4,an-sinh-features,src/pages/landing/page.tsx,About Section - An sinh về Sức khỏe,HIGH,800,600,landscape,4:3,"High-quality Vietnamese medicinal herbs with QR code traceability, organic cultivation process without harmful chemicals, farmer working safely under forest canopy, clean environment, health protection, professional illustration, teal and cyan color palette","Dược liệu Việt Nam chất lượng cao với QR code truy xuất nguồn gốc, quy trình canh tác hữu cơ không hóa chất độc hại, nông dân làm việc an toàn dưới tán rừng, môi trường sạch, bảo vệ sức khỏe","Dược liệu dược tính cao, truy xuất minh bạch. Quy trình hữu cơ/vi sinh bảo vệ sức khỏe nông dân",illustration,"healthy, clean, safe","teal, cyan, green",webp,"An sinh về Sức khỏe - Dược liệu sạch và an toàn",landing-an-sinh-4.webp,
landing-an-sinh-5,an-sinh-features,src/pages/landing/page.tsx,About Section - An sinh về Tương lai & Hưu trí,HIGH,800,600,landscape,4:3,"Vietnamese forest showing multi-term green savings: tall precious timber trees (20-30 years) like sandalwood and agarwood as long-term savings, mid-term trees like cinnamon and star anise providing annual passive income, carbon credits as pension income, elderly farmer receiving carbon pension payment, professional illustration, amber and orange color palette","Rừng Việt Nam thể hiện sổ tiết kiệm xanh đa kỳ hạn: cây gỗ quý lớn (20-30 năm) như đàn hương và trầm hương là của để dành, cây trung hạn như quế và hồi cho thu nhập thụ động hàng năm, tín chỉ carbon như lương hưu, nông dân già nhận thanh toán lương hưu carbon","Sổ tiết kiệm Xanh đa kỳ hạn: Cây gỗ quý (của để dành), cây tinh dầu (lương hưu thụ động), Hưu trí Carbon",illustration,"secure, future-oriented, peaceful","amber, orange, green, brown",webp,"An sinh về Tương lai & Hưu trí - Sổ tiết kiệm xanh",landing-an-sinh-5.webp,
landing-an-sinh-6,an-sinh-features,src/pages/landing/page.tsx,About Section - An sinh về Tinh thần & Kết nối,HIGH,800,600,landscape,4:3,"Medicinal flower tourism in Vietnamese highlands, beautiful flowering medicinal plants like ginseng flowers, star anise flowers, tourists taking photos and checking in, traditional cultural festivals, stilt house architecture, ethnic costumes, community connection between young and old, urban and rural, pride in quality products, professional illustration, pink and rose color palette","Du lịch hoa dược liệu vùng cao Việt Nam, cây dược liệu ra hoa đẹp như hoa sâm, hoa hồi, du khách chụp ảnh và check-in, lễ hội văn hóa truyền thống, kiến trúc nhà sàn, trang phục dân tộc, kết nối cộng đồng giữa trẻ và già, miền xuôi và miền ngược, tự hào về sản phẩm chất lượng","Du lịch Hoa Dược Liệu, bảo tồn văn hóa bản địa, kết nối cộng đồng, niềm tự hào về sản phẩm tử tế",illustration,"joyful, cultural, connected, proud","pink, rose, purple, green",webp,"An sinh về Tinh thần & Kết nối - Du lịch và văn hóa",landing-an-sinh-6.webp,
landing-ecosystem-illustration,landing-page,src/pages/landing/page.tsx,Ecosystem Section Main Illustration,CRITICAL,1200,800,landscape,3:2,"Comprehensive digital ecosystem illustration showing interconnected panels, management processes, cloud services, data storage, creator hub, expert hub, e-commerce platform, live streaming, agriculture monitoring, QR code gates, glowing data flow lines, modern clean design with blue, green, orange, purple colors, VITA platform ecosystem visualization, infographic style","Minh họa hệ sinh thái số toàn diện thể hiện các panel kết nối, quy trình quản lý, dịch vụ cloud, lưu trữ dữ liệu, creator hub, expert hub, nền tảng thương mại điện tử, livestream, giám sát nông nghiệp, cổng QR code, đường dữ liệu phát sáng, thiết kế hiện đại sạch với màu xanh dương, xanh lá, cam, tím","Illustration chung cho toàn bộ hệ sinh thái VITA, hiển thị khi user chọn các tabs khác nhau",illustration,"modern, integrated, comprehensive","blue, green, orange, purple",webp,"Hệ sinh thái VITA Platform",landing-ecosystem-illustration.webp,"Illustration này sẽ được sử dụng cho tất cả các tabs ecosystem, có thể thay đổi theo từng tab"
ecosystem-tab-forest-owner,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Chủ Rừng,HIGH,800,600,landscape,4:3,"Vietnamese forest landowner standing proudly on their forested land, holding land certificate document, with lush green forest background, sustainable land management, natural resources conservation, highland terrain, professional portrait, confident expression, showing land asset value and passive income potential","Chủ rừng Việt Nam đứng tự hào trên đất rừng của mình, cầm giấy tờ đất, nền rừng xanh tươi tốt, quản lý đất bền vững, bảo tồn tài nguyên thiên nhiên, địa hình vùng cao, chân dung chuyên nghiệp, biểu cảm tự tin, thể hiện giá trị tài sản đất và tiềm năng thu nhập thụ động","Xã viên Góp đất - Biến tài sản đất rừng thành nguồn thu nhập thụ động. Định giá tài sản đất minh bạch, Thu nhập từ cho thuê đất, Chia sẻ doanh thu sản phẩm, Tiền môi trường (PFES + Carbon)",photography,"proud, confident, sustainable","green, emerald, brown",webp,"Chủ Rừng & Chủ Đất - Quản lý tài sản số",ecosystem-tab-forest-owner.webp,
ecosystem-tab-farmer,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Nông Dân,HIGH,800,600,landscape,4:3,"Vietnamese farmer working in medicinal herb field under forest canopy, planting and caring for ginseng plants, hands in soil, traditional farming, sustainable agriculture, peaceful rural scene, morning light, organic cultivation, showing dedication and connection to land","Nông dân Việt Nam làm việc trong vườn dược liệu dưới tán rừng, trồng và chăm sóc cây sâm, tay trong đất, canh tác truyền thống, nông nghiệp bền vững, cảnh nông thôn yên bình, ánh sáng ban mai, canh tác hữu cơ","Xã viên Sản xuất - Lực lượng lao động trực tiếp canh tác dược liệu. Nhận khoán đất, Hỗ trợ giống và kỹ thuật, Hợp đồng bao tiêu đầu ra, Thu nhập 30-50 triệu/ha/năm",photography,"peaceful, dedicated, productive","green, brown, amber",webp,"Nông Dân & Cộng Sự - Canh tác dược liệu",ecosystem-tab-farmer.webp,
ecosystem-tab-cooperative,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Hợp Tác Xã,HIGH,800,600,landscape,4:3,"Vietnamese cooperative farmers meeting, group discussion, community collaboration, rural development, agricultural planning, teamwork, modern farming cooperative, organized production, professional management, sustainable agriculture, natural light, clean simple background, hopeful atmosphere, unity and progress","Nông dân hợp tác xã Việt Nam họp mặt, thảo luận nhóm, hợp tác cộng đồng, phát triển nông thôn, lập kế hoạch nông nghiệp, làm việc nhóm, hợp tác xã nông nghiệp hiện đại, sản xuất có tổ chức, quản lý chuyên nghiệp","Tổ chức sản xuất quy mô lớn. Tăng sức mạnh thương lượng, Chia sẻ chi phí đầu vào, Đào tạo quản lý chuyên nghiệp, Truy cập thị trường xuất khẩu",photography,"collaborative, organized, professional","blue, cyan, white",webp,"Hợp Tác Xã - Sản xuất quy mô lớn",ecosystem-tab-cooperative.webp,
ecosystem-tab-investor,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Nhà Góp Vốn,HIGH,800,600,landscape,4:3,"Professional investor reviewing agricultural investment portfolio on tablet device with charts and graphs, modern office setting, business analysis, financial planning, sustainable agriculture investment, green economy, professional attire, confident expression","Nhà đầu tư chuyên nghiệp xem xét danh mục đầu tư nông nghiệp trên tablet với biểu đồ và đồ thị, môi trường văn phòng hiện đại, phân tích kinh doanh, hoạch định tài chính, đầu tư nông nghiệp bền vững","Đầu tư vào các dự án dược liệu sinh lời cao. Lợi nhuận bền vững, Chia cổ tức hàng quý, Mua sản phẩm giá ưu đãi, Quyền biểu quyết trong HTX",photography,"professional, confident, analytical","blue, gray, yellow",webp,"Nhà Góp Vốn & Đầu Tư",ecosystem-tab-investor.webp,
ecosystem-tab-enterprise,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Doanh Nghiệp,HIGH,800,600,landscape,4:3,"Modern pharmaceutical manufacturing facility, herbal medicine production, quality control laboratory, clean sterile environment, professional equipment, Vietnamese pharmaceutical company, high-tech processing, standardized production, quality assurance, natural ingredients, bright lighting, modern industrial design, clean simple background","Cơ sở sản xuất dược phẩm hiện đại, sản xuất thuốc thảo dược, phòng thí nghiệm kiểm soát chất lượng, môi trường sạch vô trùng, thiết bị chuyên nghiệp, công ty dược phẩm Việt Nam, chế biến công nghệ cao","Nguồn nguyên liệu sạch, ổn định và có thể truy xuất nguồn gốc. Nguyên liệu chuẩn VITA, Cung ứng ổn định quanh năm, Truy xuất nguồn gốc minh bạch",photography,"modern, clean, professional","white, blue, green",webp,"Doanh Nghiệp Dược Phẩm",ecosystem-tab-enterprise.webp,
ecosystem-tab-research,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Trung Tâm Gen,HIGH,800,600,landscape,4:3,"Modern biotechnology research laboratory, plant genetics study, scientists working with medicinal plants, DNA research, microscope analysis, clean lab environment, Vietnamese research center, advanced equipment, scientific innovation, green technology, bright professional lighting, modern facility, clean simple background","Phòng thí nghiệm công nghệ sinh học hiện đại, nghiên cứu di truyền thực vật, nhà khoa học làm việc với cây dược liệu, nghiên cứu DNA, phân tích kính hiển vi, môi trường phòng thí nghiệm sạch, trung tâm nghiên cứu Việt Nam","Nghiên cứu và phát triển giống dược liệu ưu việt. Giống cây chất lượng cao, Nghiên cứu khoa học ứng dụng, Chuyển giao công nghệ",photography,"scientific, innovative, modern","white, purple, indigo",webp,"Trung Tâm Nghiên Cứu Gen",ecosystem-tab-research.webp,
ecosystem-tab-physician,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Thầy Thuốc,HIGH,800,600,landscape,4:3,"Traditional Vietnamese medicine doctor examining patient, herbal medicine consultation, professional medical setting, traditional healing practice, medicinal herbs display, calm atmosphere, trusted healthcare, cultural medicine, natural remedies, doctor-patient interaction, warm lighting, clean clinic environment, simple background","Thầy thuốc đông y Việt Nam khám bệnh cho bệnh nhân, tư vấn thuốc thảo dược, môi trường y tế chuyên nghiệp, thực hành chữa bệnh truyền thống, trưng bày dược liệu, không khí yên tĩnh, chăm sóc sức khỏe đáng tin cậy","Nguồn dược liệu sạch, dược tính cao. Dược liệu chuẩn VITA, Dược tính cao hiệu quả tốt, Minh bạch nguồn gốc, Hỗ trợ thanh toán BHYT",photography,"calm, trustworthy, traditional","teal, emerald, brown",webp,"Thầy Thuốc & Bệnh Viện Đông Y",ecosystem-tab-physician.webp,
ecosystem-tab-investor-portal,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Investor Portal,MEDIUM,800,600,landscape,4:3,"Professional investor relations meeting, handshake, business partnership, financial charts dashboard on screens, modern conference room, venture capital, angel investor, startup funding, IPO valuation, cap table presentation, professional attire, confident expression, successful negotiation","Cuộc họp quan hệ nhà đầu tư chuyên nghiệp, bắt tay, đối tác kinh doanh, dashboard biểu đồ tài chính trên màn hình, phòng họp hiện đại, vốn mạo hiểm, nhà đầu tư thiên thần, tài trợ startup, định giá IPO","Virtual Data Room, Valuation Simulator, Lộ trình IPO, Cap Table, Báo cáo IR",photography,"professional, confident, successful","blue, gray, emerald",webp,"Cổng Quan hệ Nhà đầu tư",ecosystem-tab-investor-portal.webp,
ecosystem-tab-esg-portal,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - ESG Portal,MEDIUM,800,600,landscape,4:3,"ESG environmental social governance, green leaf symbol, sustainable forestry project, carbon credits, impact investment dashboard, environmental monitoring, green finance, corporate sustainability, renewable energy, climate action, professional presentation, modern office, clean background","ESG môi trường xã hội quản trị, biểu tượng lá xanh, dự án lâm nghiệp bền vững, tín chỉ carbon, dashboard đầu tư tác động, giám sát môi trường, tài chính xanh","Sàn đầu tư Tác động - Kết nối dòng vốn ESG với các dự án trồng rừng bền vững, Tín chỉ Carbon",illustration,"green, sustainable, impactful","green, emerald, teal",webp,"Cổng Đầu tư ESG",ecosystem-tab-esg-portal.webp,
ecosystem-tab-timber-trading,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Timber Trading,MEDIUM,800,600,landscape,4:3,"Modern office building wood trading company, timber commodity futures, forestry management, sustainable logging, FSC certified wood, supply chain, professional business environment, charts graphs, growth trends, financial dashboard","Tòa nhà văn phòng hiện đại công ty giao dịch gỗ, tương lai hàng hóa gỗ, quản lý lâm nghiệp, khai thác gỗ bền vững, gỗ chứng nhận FSC, chuỗi cung ứng","Đặt hàng rừng trồng tương lai, Chứng chỉ FSC/PEFC, Tính toán hiệu suất, Kế hoạch khai thác bền vững",photography,"professional, sustainable, organized","amber, orange, brown",webp,"Cổng Giao dịch Gỗ Nguyên liệu",ecosystem-tab-timber-trading.webp,
ecosystem-tab-forestry,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Forestry,MEDIUM,800,600,landscape,4:3,"Agroforestry system multi-layer canopy forest Vietnamese highlands, medicinal plants growing underneath tall trees, sustainable forestry management, shade-grown agriculture, biodiversity conservation, lush green forest landscape, professional forestry management","Hệ thống nông lâm kết hợp đa tầng tán rừng vùng cao Việt Nam, cây dược liệu mọc dưới cây cao, quản lý lâm nghiệp bền vững, canh tác dưới tán, bảo tồn đa dạng sinh học","Quản lý Hệ sinh thái Đa tầng tán - Rừng gỗ lớn che bóng cho dược liệu. Kiến Trúc Sư Rừng, AI đo độ che phủ",photography,"sustainable, layered, organized","green, emerald, brown",webp,"Bộ Tiêu chuẩn & Công cụ Lâm sinh",ecosystem-tab-forestry.webp,
